-120,0.051981,10.80,0;-120,-0.030111,10.80,0;-120,0.0014655,10.80,0;-120,0.067361,10.80,0;-120,-0.049222,10.80,0;-120,-0.032352,10.80,0;-120,0.017486,10.80,0;-120,0.091279,10.80,0;-120,-0.032869,10.80,0;-120,-0.0098813,10.80,0;-120,0.0015353,10.80,0;-120,-0.023953,10.80,0;-120,0.0004864,10.80,0;
-120,0.0098261,0.01,0;-120,0.040148,0.01,0;-120,0.063918,0.01,0;-120,-0.0091429,0.01,0;-120,-0.024241,0.01,0;-120,0.0098032,0.01,0;-120,0.019047,0.01,0;-120,-0.078904,0.01,0;-120,0.042074,0.01,0;-120,-0.045791,0.01,0;-120,-0.021884,0.01,0;-120,0.0025893,0.01,0;-120,0.076991,0.01,0;
-120,0.083208,0.01,0;-120,0.016729,0.01,0;-120,0.032692,0.01,0;-120,0.064239,0.01,0;-120,0.011669,0.01,0;-120,-0.06514,0.01,0;-120,-0.023108,0.01,0;-120,0.0069681,0.01,0;-120,-0.10469,0.01,0;-120,-0.014565,0.01,0;-120,-2.6034e-05,0.01,0;-120,-0.0036559,0.01,0;-120,-0.044792,0.01,0;
-120,-0.024523,0.01,0;-120,-0.026988,0.01,0;-120,0.040498,0.01,0;-120,-0.035685,0.01,0;-120,-0.017996,0.01,0;-120,-0.066701,0.01,0;-120,0.020608,0.01,0;-120,-0.10545,0.01,0;-120,0.013971,0.01,0;-120,0.010416,0.01,0;-120,0.026516,0.01,0;-120,0.071287,0.01,0;-120,0.042642,0.01,0;
-120,0.025439,0.01,0;-120,-0.00044578,0.01,0;-120,0.10139,0.01,0;-120,0.00022497,0.01,0;-120,0.081928,0.01,0;-120,0.0301,0.01,0;-120,-0.034037,0.01,0;-120,-0.071097,0.01,0;-120,-0.029746,0.01,0;-120,0.036958,0.01,0;-120,0.057742,0.01,0;-120,0.058796,0.01,0;-120,-0.04323,0.01,0;
-120,-0.033891,0.01,0;-120,-0.020743,0.01,0;-120,0.045182,0.01,0;-120,-0.016949,0.01,0;-120,-0.035171,0.01,0;-120,-0.046404,0.01,0;-120,-0.034037,0.01,0;-120,0.0022842,0.01,0;-120,0.015532,0.01,0;-120,0.010416,0.01,0;-120,0.0030966,0.01,0;-120,0.040061,0.01,0;-120,0.05201,0.01,0;
-120,-0.046381,0.01,0;-120,0.0089221,0.01,0;-120,0.048305,0.01,0;-120,-0.024756,0.01,0;-120,0.12721,0.01,0;-120,0.012926,0.01,0;-120,-0.0090564,0.01,0;-120,-0.036749,0.01,0;-120,-0.037553,0.01,0;-120,-0.036424,0.01,0;-120,0.032761,0.01,0;-120,0.010396,0.01,0;-120,-0.038546,0.01,0;
-120,-0.026084,0.01,0;-120,0.0073608,0.01,0;-120,-0.062548,0.01,0;-120,-0.013827,0.01,0;-120,-0.00082181,0.01,0;-120,-0.072946,0.01,0;-120,-0.059018,0.01,0;-120,0.027265,0.01,0;-120,-0.026624,0.01,0;-120,-0.055159,0.01,0;-120,0.028078,0.01,0;-120,-0.016146,0.01,0;-120,-0.0010749,0.01,0;
-120,-0.071362,0.01,0;-120,0.021413,0.01,0;-120,0.117,0.01,0;-120,-0.027879,0.01,0;-120,0.056947,0.01,0;-120,0.012926,0.01,0;-120,-0.02467,0.01,0;-120,-0.077343,0.01,0;-120,-0.017256,0.01,0;-120,0.0010478,0.01,0;-120,-0.057794,0.01,0;-120,-0.047373,0.01,0;-120,0.053571,0.01,0;
-120,-0.051065,0.01,0;-120,0.049516,0.01,0;-120,-0.032883,0.01,0;-120,0.04238,0.01,0;-120,-0.042977,0.01,0;-120,-0.04172,0.01,0;-120,-0.06058,0.01,0;-120,0.022581,0.01,0;-120,0.0014801,0.01,0;-120,0.022906,0.01,0;-120,-0.062478,0.01,0;-120,-0.038005,0.01,0;-120,-0.046353,0.01,0;
